year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2018,10,42,NL33A,64,17.1639347076416,7.973539352416992,12.585200309753418,1.5514436960220337,0
2018,10,42,NL33B,48,16.81538963317871,8.555854797363281,12.69316291809082,1.2943803071975708,0
2018,10,42,NL33C,230,16.887882232666016,8.851054191589355,12.866122245788574,1.661575198173523,0
2018,10,42,NL341,22,17.095165252685547,9.521910667419434,13.30600643157959,1.7974059581756592,0
2018,10,42,NL342,57,16.940778732299805,9.92302417755127,13.43105697631836,1.487168788909912,0
2018,10,42,NL411,90,17.371562957763672,8.147527694702148,12.75210952758789,1.6342121362686157,0
2018,10,42,NL412,92,17.529254913330078,7.691651821136475,12.60661506652832,1.2336816787719727,0
2018,10,42,NL413,102,17.613849639892578,7.626174449920654,12.625545501708984,1.1011775732040405,0
2018,10,42,NL414,133,17.689102172851562,7.3745317459106445,12.534605979919434,1.0529361963272095,0
2018,10,42,NL421,35,17.61190414428711,7.401371479034424,12.517107963562012,0.7726221084594727,0
2018,10,42,NL422,34,17.68143081665039,6.969694137573242,12.34878921508789,0.8823872804641724,0
2018,10,42,NL423,110,17.168363571166992,8.215715408325195,12.69498348236084,1.1617313623428345,0
2018,10,43,NL112,13,16.488304138183594,8.140949249267578,12.324707984924316,1.0668280124664307,0
2018,10,43,NL124,54,15.8930025100708,8.80917739868164,12.363991737365723,1.2452714443206787,0
2018,10,43,NL125,19,15.909814834594727,8.505064010620117,12.208024978637695,1.0830044746398926,0
2018,10,43,NL126,36,16.333513259887695,7.789068698883057,12.059995651245117,1.172067642211914,0
2018,10,43,NL131,39,16.492921829223633,7.306880950927734,11.908929824829102,1.1009924411773682,0
2018,10,43,NL132,32,16.682592391967773,7.064356803894043,11.866086959838867,1.0937787294387817,0
2018,10,43,NL133,19,16.564149856567383,7.3055219650268555,11.947954177856445,1.2346128225326538,0
